file,description,link
11.csv,Цены на алмазы Изучение данных по бриллиантам В этом документе рассматривается набор данных содержащий цены и атрибуты примерно 54 000 бриллиантов круглой огранки. В наборе данных 53 940 бриллиантов с 10 характеристиками (карат огранка цвет чистота глубина таблица цена x y и z). Большинство переменных являются числовыми по своей природе но переменные cut color и clarity являются упорядоченными факторными переменными со следующими уровнями. О валюте для столбца цены: это цена ($),https://www.kaggle.com/datasets/nancyalaswad90/diamonds-prices
12.csv,Ежедневная цена на кофе Прогнозирование ежедневной цены на кофе Кофе - это сваренный напиток приготовленный из обжаренных кофейных зерен семян ягод определенных цветковых растений рода Coffea. Из кофейных плодов отделяют семена чтобы получить стабильный сырой продукт: необжаренный зеленый кофе. Затем семена обжаривают что превращает их в потребляемый продукт: обжаренный кофе который измельчается на мелкие частицы которые обычно замачивают в горячей воде перед фильтрованием получая чашку кофе.,https://www.kaggle.com/datasets/psycon/daily-coffee-price
13.csv,Данные изменения курса акции компании Yamana Gold Inc. — канадской компании которая владеет и управляет золотыми серебряными и медными рудниками в Канаде Чили Бразилии и Аргентине,https://www.kaggle.com/datasets/nancyalaswad90/yamana-gold-inc-stock-price
14.csv,Ежедневные исторические данные о ценах на золото Исторические данные о золоте исторически золотые монеты широко использовались в качестве валюты когда были введены бумажные деньги они обычно представляли собой квитанцию которую можно было обменять на золотую монету или слитки. В денежной системе известной как золотой стандарт определенному весу золота было присвоено название денежной единицы. В течение длительного периода правительство Соединенных Штатов устанавливало стоимость доллара США таким образом чтобы одна тройская унция была равна 2067 доллара (0665 доллара за грамм) но в 1934 году доллар был девальвирован до 3500 доллара за тройскую унцию (0889 доллара за грамм). К 1961 году поддерживать эту цену стало трудно и группа американских и европейских банков согласилась манипулировать рынком чтобы предотвратить дальнейшую девальвацию валюты на фоне возросшего спроса на золото.,https://www.kaggle.com/datasets/psycon/daily-gold-price-historical-data
15.csv,Население мира Население мира по странам 2022 Данные о населении мира по каждой стране субъекту в мире. В общей сложности он содержит 235 записей и 11 столбцов содержащих данные об общей численности населения до 2020 года годовом изменении чистом изменении плотности площади суши мигрантах коэффициенте рождаемости среднем возрасте городском населении и доле населения в мире.,https://www.kaggle.com/datasets/muhammedtausif/world-population-by-countries
16.csv,Набор данных по возрасту жизнь работа и смерть 122 млн человек Структурированная информация о жизни работе и смерти более 1 миллиона человек Набор данных содержит структурированную информацию о жизни работе и смерти более 1 миллиона умерших известных людей.,https://www.kaggle.com/datasets/imoore/age-dataset
17.csv,Задача прогнозирования цен на автомобили Набор данных для практики регрессии путем прогнозирования цен на разные автомобили.,https://www.kaggle.com/datasets/deepcontractor/car-price-prediction-challenge
18.csv,Данные о повышении цен на мобильные устройства Технические характеристики мобильного телефона и его цена Технические характеристики различных типов мобильных телефонов и цена это данные. цена на мобильные телефоны варьируется в зависимости от многих спецификаций и цена меняется соответственно. Эти данные помогают прогнозировать цену мобильного устройства с помощью различных функциональных переменных.,https://www.kaggle.com/datasets/midhundasl/mobile-price-hike-data
19.csv,Данные о миллиардерах Forbes 2022 Предварительная обработка Работа с исчерпывающими и обновленными данными обо всех миллиардерах The World's Billionaires - это ежегодный рейтинг самых богатых миллиардеров мира по документированному собственному капиталу который ежегодно составляется и публикуется в марте американским деловым журналом Forbes. Этот список был впервые опубликован в марте 1987 года. Общая чистая стоимость каждого лица включенного в список оценивается и указывается в долларах США на основе их документально подтвержденных активов с учетом задолженности и других факторов. Члены королевской семьи и диктаторы чье богатство проистекает из их положения исключаются из этих списков. Этот рейтинг представляет собой индекс самых богатых зарегистрированных лиц исключая любой рейтинг тех чье богатство не может быть полностью установлено.,https://www.kaggle.com/datasets/surajjha101/forbes-billionaires-data-preprocessed
20.csv,Гибкость студентов в онлайн-обучении Эффективность онлайн-образования Эффективность онлайн-образования Поскольку для новичка в машинном обучении это была бы отличная возможность попробовать некоторые методы прогнозирования результатов прогнозирования уровня адаптивности учащихся в онлайн-образовании с использованием подходов машинного обучения.,https://www.kaggle.com/datasets/shariful07/student-flexibility-in-online-learning
